,id,price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color,state,lat,long,posting_date,reused_desc
0,7311994652,5800,2012,volkswagen,unlisted,5,gas,148000.0,automatic,unlisted,unlisted,unlisted,unlisted,az,32.2434,-111.0179,2021-04-24T11:44:09-0700,False
1,7313503287,10200,1990,ford,excellent,6,gas,135000.0,automatic,4wd,mid-size,truck,white,oh,40.0778,-80.9788,2021-04-27T15:57:17-0400,False
2,7306460136,29995,2011,ford,like new,8,gas,22543.0,automatic,4wd,full-size,pickup,blue,ca,37.765104,-120.850714,2021-04-13T17:03:15-0700,True
3,7314826732,8997,2002,ford,unlisted,8,gas,191155.0,automatic,4wd,unlisted,truck,blue,fl,27.329701,-82.530265,2021-04-30T11:36:54-0400,False
4,7315446340,33000,2020,chevrolet,new,6,gas,7500.0,automatic,rwd,unlisted,unlisted,black,tn,36.304307,-88.276606,2021-05-01T14:13:55-0500,False
5,7315743878,1500,1990,volvo,good,4,gas,205000.0,automatic,rwd,unlisted,wagon,blue,co,39.74395,-104.895444,2021-05-02T08:54:11-0600,False
6,7306922430,16990,2019,toyota,excellent,4,gas,65080.0,automatic,fwd,unlisted,sedan,black,nc,35.730359,-81.360243,2021-04-14T18:00:27-0400,True
7,7313305142,0,2017,jeep,excellent,8,gas,44269.0,automatic,4wd,mid-size,SUV,red,ks,36.72137,-95.93518,2021-04-27T09:35:21-0500,False
8,7304221373,14500,2017,nissan,excellent,6,gas,91165.0,automatic,fwd,unlisted,sedan,red,wi,44.610504,-88.049143,2021-04-09T11:47:49-0500,True
9,7308229859,560,2017,gmc,unlisted,8,gas,58970.0,automatic,4wd,unlisted,truck,unlisted,wa,46.212261,-119.16057,2021-04-17T07:46:26-0700,False
10,7302048818,16986,2017,volkswagen,excellent,4,gas,35425.0,automatic,4wd,compact,SUV,black,vt,44.439408,-73.210163,2021-04-05T10:50:06-0400,False
11,7314049470,7990,2010,volkswagen,excellent,5,gas,102500.0,automatic,fwd,compact,coupe,red,la,29.970842,-90.082653,2021-04-28T16:21:52-0500,False
12,7305431004,13000,2004,unlisted,like new,8,gas,47000.0,manual,rwd,mid-size,coupe,red,ky,38.5649,-84.7679,2021-04-11T20:38:07-0400,False
13,7311451370,26990,2016,chevrolet,good,8,gas,75734.0,automatic,rwd,full-size,truck,white,pa,40.468785,-74.281707,2021-04-23T13:44:40-0400,False
14,7309867206,9800,2012,honda,good,4,gas,85000.0,automatic,fwd,unlisted,unlisted,black,mi,41.9255,-85.0057,2021-04-20T12:38:17-0400,False
15,7316988274,11000,2012,audi,good,6,gas,144000.0,automatic,4wd,full-size,unlisted,white,mo,38.4305,-90.387,2021-05-04T17:34:01-0500,False
16,7316789268,0,2009,ram,unlisted,8,gas,129163.0,automatic,4wd,unlisted,unlisted,unlisted,or,45.6914,-122.5805,2021-05-04T09:52:42-0700,False
17,7316916641,24500,2014,chevrolet,good,8,gas,95000.0,automatic,4wd,full-size,truck,red,ky,37.099509,-85.316384,2021-05-04T15:16:24-0500,True
18,7315329477,27997,2018,unlisted,unlisted,6,gas,39467.0,automatic,rwd,full-size,sedan,silver,tx,32.840011,-97.225295,2021-05-01T11:00:06-0500,False
19,7315398481,4995,2009,ford,unlisted,4,gas,92972.0,automatic,fwd,unlisted,sedan,white,il,41.572305,-88.113993,2021-05-01T12:52:43-0500,False
20,7312380751,29990,2012,toyota,good,6,gas,43182.0,other,4wd,unlisted,pickup,white,fl,30.33,-81.65,2021-04-25T12:51:17-0400,False
21,7301617055,43990,2020,buick,good,6,gas,5217.0,other,fwd,unlisted,SUV,unlisted,mi,42.24,-84.4,2021-04-04T09:01:29-0400,False
22,7315276320,5499,2011,toyota,like new,4,gas,200000.0,automatic,fwd,unlisted,unlisted,unlisted,ct,41.7498,-72.6947,2021-05-01T10:22:15-0400,False
23,7315145180,6499,2010,chevrolet,excellent,4,gas,99000.0,automatic,fwd,unlisted,sedan,blue,nj,40.0293,-74.9497,2021-04-30T22:01:35-0400,True
24,7309944749,5950,2006,toyota,excellent,4,gas,158311.0,automatic,fwd,unlisted,sedan,grey,tx,27.713867,-97.443811,2021-04-20T13:31:18-0500,False
25,7311698078,14500,2005,jeep,good,6,gas,124053.0,automatic,4wd,full-size,SUV,blue,sc,34.586557,-83.761243,2021-04-23T22:01:16-0400,False
26,7314155147,48999,2011,ford,unlisted,8,diesel,65617.0,automatic,4wd,unlisted,truck,unlisted,or,47.81247,-122.32164,2021-04-28T18:38:05-0700,False
27,7313770432,0,2015,toyota,excellent,4,gas,106367.0,automatic,fwd,mid-size,SUV,silver,oh,41.691756,-83.628175,2021-04-28T09:19:02-0400,False
28,7316150567,8998,2014,chevrolet,unlisted,4,gas,109451.0,automatic,fwd,compact,sedan,custom,ga,34.087409,-83.945058,2021-05-03T09:31:22-0400,False
29,7316549625,34500,2018,chevrolet,unlisted,4,diesel,59952.0,automatic,4wd,unlisted,unlisted,unlisted,or,47.412043,-122.241112,2021-05-03T18:29:58-0700,False
30,7310622550,1000,1998,unlisted,good,6,gas,157846.0,automatic,4wd,mid-size,SUV,silver,ca,38.917,-119.9865,2021-04-21T16:31:27-0700,False
31,7314584234,20990,2013,mercedes-benz,good,6,gas,59518.0,other,rwd,unlisted,sedan,unlisted,tx,31.84,-106.43,2021-04-29T17:11:02-0600,False
32,7314369989,59700,2016,chevrolet,unlisted,8,other,2522.0,automatic,fwd,compact,other,unlisted,ok,44.927304,-123.030322,2021-04-29T11:37:50-0500,True
33,7311487367,17299,2017,nissan,good,4,gas,55749.0,automatic,4wd,full-size,SUV,black,vt,44.9502,-72.1376,2021-04-23T14:39:59-0400,False
34,7316838893,9750,2008,subaru,like new,6,gas,120000.0,automatic,4wd,unlisted,SUV,unlisted,ca,33.613,-117.662,2021-05-04T11:08:18-0700,False
35,7311321902,9900,2006,lexus,excellent,6,gas,95048.0,automatic,4wd,unlisted,sedan,silver,ma,42.22311,-71.70354,2021-04-23T10:20:24-0400,False
36,7303478196,21980,2017,kia,unlisted,6,gas,63505.0,automatic,fwd,unlisted,sedan,grey,mt,47.692931,-117.411632,2021-04-07T20:33:23-0600,False
37,7315294754,5650,2012,dodge,good,4,gas,150000.0,automatic,unlisted,unlisted,unlisted,unlisted,nv,36.218,-115.1709,2021-05-01T07:58:33-0700,False
38,7316815676,2990,2005,ford,unlisted,6,gas,143623.0,automatic,4wd,unlisted,hatchback,red,me,42.8285,-71.6606,2021-05-04T13:32:27-0400,True
39,7316645520,13500,2006,ford,excellent,8,gas,90777.0,automatic,4wd,full-size,pickup,brown,wi,43.8487,-91.2484,2021-05-04T07:16:20-0500,False
40,7306998574,5500,2008,chevrolet,good,6,gas,132000.0,automatic,fwd,mid-size,sedan,black,wi,43.5298,-89.9966,2021-04-14T19:59:21-0500,False
41,7313267460,9995,1997,chevrolet,unlisted,8,gas,87783.0,automatic,rwd,unlisted,convertible,white,dc,38.262775,-77.494843,2021-04-27T09:18:55-0400,True
42,7315020880,5350,2011,ford,excellent,4,gas,129359.0,automatic,4wd,unlisted,SUV,black,me,43.036758,-71.414421,2021-04-30T17:00:31-0400,False
43,7307712094,8975,2012,ford,good,4,gas,74000.0,automatic,fwd,unlisted,sedan,custom,in,41.075609,-85.030367,2021-04-16T11:12:29-0400,False
44,7315597743,7500,2005,ford,good,8,gas,129334.0,automatic,fwd,full-size,truck,custom,oh,39.138346,-84.525383,2021-05-01T20:57:26-0400,False
45,7309435754,28990,2017,ford,like new,6,gas,59608.0,automatic,4wd,full-size,SUV,black,il,42.267453,-89.826221,2021-04-19T14:42:48-0500,False
46,7314319000,4750,1976,chevrolet,good,8,gas,88000.0,manual,4wd,full-size,truck,silver,fl,30.275221,-83.049732,2021-04-29T11:12:30-0400,False
47,7316334748,0,2014,chevrolet,excellent,8,gas,60246.0,automatic,rwd,mid-size,truck,white,ok,35.71996,-96.95391,2021-05-03T13:28:03-0500,False
48,7308179602,39590,2019,unlisted,good,6,gas,25399.0,other,unlisted,unlisted,sedan,red,ga,31.15,-81.48,2021-04-17T09:01:04-0400,False
49,7311906669,0,2020,chevrolet,excellent,8,gas,49199.0,automatic,rwd,full-size,SUV,black,ca,39.03292,-122.92535,2021-04-24T09:27:19-0700,False
50,7314101462,37995,2018,ford,unlisted,8,gas,37069.0,automatic,4wd,unlisted,unlisted,white,id,40.376357,-111.806112,2021-04-28T17:14:13-0600,True
51,7315814558,0,1997,ford,unlisted,8,diesel,216148.0,automatic,4wd,unlisted,truck,unlisted,or,45.385979,-122.608301,2021-05-02T10:18:52-0700,False
52,7315686764,25990,2014,chevrolet,good,8,other,82140.0,automatic,4wd,unlisted,pickup,black,fl,33.779214,-84.411811,2021-05-02T08:01:01-0400,False
53,7304678527,9900,2004,jeep,good,6,gas,248000.0,automatic,4wd,unlisted,SUV,brown,oh,39.8324,-84.8936,2021-04-10T11:20:02-0400,True
54,7309742810,0,2018,dodge,like new,6,gas,16423.0,automatic,4wd,full-size,SUV,silver,va,39.141109,-78.190523,2021-04-20T09:16:00-0400,False
55,7311215858,3495,2007,nissan,unlisted,6,gas,180000.0,automatic,unlisted,unlisted,unlisted,unlisted,tx,31.759169,-106.398835,2021-04-22T22:36:36-0600,True
56,7312730539,7200,2014,subaru,good,4,gas,114007.0,automatic,fwd,full-size,sedan,grey,pa,40.0634,-74.999,2021-04-26T08:47:46-0400,True
57,7309483266,0,2015,ford,unlisted,4,gas,45715.0,automatic,rwd,unlisted,coupe,unlisted,or,45.385979,-122.608301,2021-04-19T13:57:09-0700,False
58,7315875788,19900,2018,toyota,like new,6,gas,14000.0,automatic,fwd,mid-size,mini-van,white,ma,40.7446,-73.9345,2021-05-02T15:15:10-0400,False
59,7315205547,6993,2011,chrysler,unlisted,6,gas,128136.0,automatic,fwd,unlisted,van,silver,tx,29.89036,-95.392527,2021-05-01T04:24:10-0500,False
